K_values,Eigenvalues
0.4,8.27841795114641e-12 - 4.250964984993142im
0.4,3.980006068305717e-12 - 4.250965842480463im
0.4,8.86973351908544e-12 - 4.250966325029732im
0.4,6.898681625955342e-12 - 4.250966330203746im
0.4,5.174011219466506e-12 - 4.250965109808993im
0.4,5.174011219466506e-12 - 0.6864331261254852im
0.4,3.8805070268210986e-12 - 4.250964977149853im
0.4,5.174011219466506e-12 - 4.250966289049635im
0.4,2.069602267340553e-12 - 4.250965876157086im
0.4,8.623346481329053e-12 - 4.250966136105774im
0.4,3.8805070268210986e-12 - 4.250966037600302im
0.4,4.024232798845657e-12 - 4.25096601816584im
0.4,8.869730347019654e-12 - 4.250966078096202im
0.4,1.7246722568605427e-12 - 4.250966011060195im
0.4,7.761014053642197e-12 - 4.250966073339805im
0.4,5.174009369094798e-12 - 4.250966283627268im
0.4,1.8971380022492313e-11 - 4.25096611716888im
0.4,2.8744512942719613e-12 - 4.25096666968462im
0.4,5.913152507324508e-12 - 4.250966859147662im
0.4,3.880510727564515e-12 - 4.250966049334966im
0.4,5.174009369094798e-12 - 4.250965992826967im
0.4,1.0348022438933012e-11 - 4.2509658539667745im
0.4,2.5870028341756914e-12 - 4.250966126269971im
0.4,2.5870028341756914e-12 - 4.250965816372387im
0.4,3.4493398036840114e-12 - 4.250964960124759im
0.4,2.5870083852908144e-12 - 4.250966046176231im
0.4,1.2935041926454072e-12 - 4.250966058291185im
0.4,2.778636580084533e-12 - 4.250964952490214im
0.4,6.515417834881072e-12 - 4.250964942197374im
0.4,3.640973942095943e-12 - 4.2509649364484705im
0.4,5.653090341518771e-12 - 4.25096684677791im
0.4,1.4372305814605345e-12 - 4.250964948714333im
0.5,2.4835267176115525e-11 - 2.0728988438844675im
0.5,2.069605875565383e-11 - 2.783383953881758im
0.5,2.0068900077128443e-11 - 4.254861413521902im
0.5,2.0696061531211394e-11 - 1.3759677912419033im
0.5,1.0348022438933012e-11 - 0.6910923168063152im
0.6,3.311369400904613e-11 - 4.259602855245275im
0.6,2.4835267176115525e-11 - 0.696735998988151im
0.6,1.8971385573607434e-11 - 4.259603102360337im
0.6,1.0348026139676427e-11 - 4.259603095427158im
0.6,2.8457081135968714e-11 - 4.259602945825709im
0.6,3.311369844993823e-11 - 1.381331171294054im
0.6,2.0696057566129163e-11 - 4.259597790596034im
0.6,2.0696059680839683e-11 - 4.259602538496259im
0.6,2.0696059680839686e-11 - 4.2595947278042665im
0.6,1.1037895042420644e-11 - 2.788450957900945im
0.6,2.069605820054232e-11 - 4.259603032420083im
0.6,2.149205770616804e-11 - 4.2596028830283im
0.6,9.198244635102732e-12 - 4.2596029386200325im
0.6,8.278422392038508e-12 - 4.259603066543741im
0.6,2.069605598009627e-11 - 2.07810237649828im
0.6,7.76101960475732e-12 - 4.2596030735410775im
0.6,5.8638797521363814e-12 - 4.259602952707149im
0.6,8.869736691151223e-12 - 4.259603060249774im
0.6,2.069605598009627e-11 - 4.259596918957932im
0.6,2.069605598009627e-11 - 4.259597026618821im
0.6,7.884217088717744e-12 - 3.5135365789963138im
0.6,8.27841795114641e-12 - 4.259597767690821im
0.6,3.8805070268210986e-12 - 4.259602463524792im
0.6,3.066088124133649e-12 - 3.5135365869206048im
0.6,1.0348022438933012e-11 - 4.259597749573493im
0.6,2.069605598009627e-11 - 4.259594830187662im
0.6,2.069605598009627e-11 - 4.259594770583017im
0.6,3.449339226944778e-12 - 4.259602941933372im
0.6,5.174008840417168e-12 - 4.2596029039028895im
0.6,7.391439841139189e-12 - 4.259602892381099im
0.6,5.17400751872309e-12 - 4.259602899104363im
0.6,3.8805070268210986e-12 - 4.2596024590544435im
0.6,1.1037903924204843e-11 - 3.513536516047187im
0.6,5.174005668351383e-12 - 4.259602888921901im
0.6,3.854387516226303e-12 - 4.259602417939687im
0.6,2.2995660931002367e-12 - 3.513536592897166im
0.6,8.084402591812576e-12 - 4.259602410536417im
0.7,1.6556849224969115e-11 - 4.265158085525037im
0.7,1.3245476271350823e-10 - 4.265160152912142im
0.7,4.8506421101990574e-12 - 4.265159154630966im
0.7,1.986821462907084e-10 - 4.2651571726799045im
0.7,2.1207070667451877e-11 - 4.2651585533893055im
0.7,2.4835267176115525e-11 - 4.26515913307667im
0.7,2.257752167041243e-11 - 3.5192865489558756im
0.7,2.299561775566252e-11 - 4.265158199187784im
0.7,1.8396494204530017e-11 - 4.265158738195898im
0.7,6.898681625955342e-12 - 4.265159341755016im
0.7,3.3113694009046134e-11 - 4.2651590764522584im
0.7,2.4835267176115525e-11 - 4.265158276557924im
0.7,1.0348027990048134e-11 - 4.265159691311419im
0.7,8.936927965340771e-12 - 4.265158061463048im
0.7,1.5920043061612513e-11 - 4.265158702146551im
0.7,9.35302604596285e-12 - 4.265159323951232im
0.7,6.652299346297632e-12 - 4.265158238887257im
0.7,2.0696061531211394e-11 - 0.7033349388589447im
0.7,1.6556849224969115e-11 - 4.265157553553582im
0.7,2.069605598009627e-11 - 4.2651581956694535im
0.7,1.1826317702912154e-11 - 4.265158096381597im
0.7,8.968288334187992e-12 - 4.265158651135865im
0.7,3.311369844993823e-11 - 4.265158048272134im
0.7,2.5870028341756914e-12 - 3.5192865196770704im
0.7,2.7594748708281858e-11 - 3.5192865699943585im
0.7,1.72467151671186e-11 - 2.794396341147106im
0.7,2.0696061531211394e-11 - 3.5192865678419682im
0.7,5.174011219466506e-12 - 4.265157016552989im
0.7,1.6556844784077015e-11 - 4.265158093124629im
0.7,1.0348027990048134e-11 - 4.2651582205668115im
0.7,8.278422392038508e-12 - 4.265158646702769im
0.7,1.5522041985072202e-11 - 4.265158613305541im
0.7,2.069605598009627e-11 - 4.265159348305318im
0.7,1.0348027990048134e-11 - 4.265159794129433im
0.7,1.8396494204530017e-11 - 4.265159606850812im
0.7,1.5522039209514638e-11 - 3.519286435438943im
0.7,1.3797374354140929e-11 - 1.3876183445461912im
